"3 Melancholy Gypsys Radio","3 Melancholy Gypsys","Hear songs by 3 Melancholy Gypsys, Scarub, Sunspot Jonz, Eligh, and more.","","Scarub, Sunspot Jonz, Eligh, Abstract Rude, Mystik Journeymen, Luckyiam, The Grouch, Cma, Living Legends, Pep Love, Aceyalone, 2Mex, The Visionaries, A-Plus, Opio, The Grouch &amp; Eligh, Abstract Tribe Unique, ","Indie Rap Era, Left-Field Hip Hop, From the Hip Hop Laboratory , Essential Turntablism, &#39;90s Backpacker Hip Hop, Beats Without Rhymes, Instrumental Hip Hop, New York City Rent Party , Produced by J Dilla, 808s &amp; Brass, Produced by Pete Rock, Rainy Day Hip Hop, Ninja Tune Records, Produced by DJ Premier, Soul-Soaked Samples, "
"40oz. On Repeat Radio","FIDLAR","Hear songs by FIDLAR, The Orwells, Wavves, Bass Drum of Death, and more.","","FIDLAR, The Orwells, Wavves, Bass Drum of Death, together PANGEA, Skaters, The Frights, Bleeding Knees Club, Twin Peaks, White Reaper, Tijuana Panthers, PUP, Broncho, Cherry Glazerr, King Tuff, The Growlers, ","Left Lane Lo-Fi, Guitars &amp; PBRs, Indie Children of the &#39;90s, Indie Under Pressure, BAD PARTY, Eat My Shorts, NXNE: The 20th Anniversary, Flying the Anti-Flag, Railroad Tracks, Beach Cruiser Indie Pop, Retro Indie Rock, New Adventures In Lo-Fi, Summer Fridays, SXSW 2018: Rising Rock &amp; Metal, Children of The Velvet Underground, Sunshine Indie, "
"&#39;90s Pop-Punk","By Google Play Music","Tap into your teenage angst with classic songs from the &#39;90s era of pop punk.","","blink-182, Rancid, NOFX, Pennywise, MxPx, No Use For A Name, Lagwagon, Green Day, The Offspring, Down by Law, Descendents, Screeching Weasel, Fenix TX, Bad Religion, Riverdales, Dag Nasty, ","Full-Bore Punk &amp; Hardcore, Punk Rock Love , Punk Wake-Up Call, Alt-Rock Punk-Pop Party, SoCal Summer, True Teenage Romance, Pickitup Pickitup: The &#39;90s Ska Revival, Fall Out Boys: &#39;00s Pop-Punk, Good Ol&#39; Canadian Bush Party, Pop-Punk Primer, &#39;90s Frat BBQ, &#39;90s Alternative Rock, Punk Party, Downhill Racer, Pop-Punk Party-Starters, Lollapalooza&#39;s First Era, "
"About It Radio","Anilyst","Hear songs by Anilyst, Jarren Benton, Chris Webby, Ces Cru, and more.","","Jarren Benton, Chris Webby, Ces Cru, Logic, Wrekonize, JL, ¡Mayday!, Wrekonize, Stevie Stone, Futuristic, Jl B Hood, DJ Hoppa, Twisted Insane, DUB O, Gun, Prozak, ","Stuntin&#39; Like My Daddy, Noise Rap, Dark &amp; Dirty Hip Hop, Heavy On The Pedal, The World of Eminem, Hold Me Back Bro   , Cloud Rap, Featuring 2 Chainz, West Coast Rap Renaissance, Party in the Trap, Sad Rappers, Lose Yourself, Mustard on the Beat, Swag Triumphant , Balling Like a Lannister, Aggressive Dubstep, "
"AC/DC Radio","AC/DC","Hear songs by AC/DC, Aerosmith, Guns N&#39; Roses, KISS, and more.","","Aerosmith, Guns N&#39; Roses, KISS, Van Halen, Black Sabbath, ZZ Top, Ozzy Osbourne, Iron Maiden, Metallica, Mötley Crüe, Scorpions, Airbourne, Motörhead, Bon Scott, Judas Priest, Alice Cooper, Def Leppard, ","Heavy Metal Halloween, Welcome to the Jungle, The World of Ozzy Osbourne, The World of Megadeth, New Wave of British Heavy Metal, Metallica&#39;s Unofficial Brotherhood, Heavy Metal&#39;s Founding Fathers, The Black Mass, Hard Rock Headbangers, Essential Heavy Metal, Hair Metal, 1987 Metal Masters, Essential Hard Rock, Biker Bar Rock, Classic Rock Guitar Solos, "
"A Little Piece of Heaven Radio","Avenged Sevenfold","Hear songs by Avenged Sevenfold, Bullet For My Valentine, Disturbed, Slipknot, and more.","","Bullet For My Valentine, Disturbed, Slipknot, Five Finger Death Punch, Three Days Grace, Stone Sour, All That Remains, Breaking Benjamin, Avenged Sevenfold, Papa Roach, Trivium, Killswitch Engage, Atreyu, System of a Down, Shinedown, Seether, ","Modern Rock Uprising, Bodies Hit the Floor: FPS Rock, Metal &amp; Rock Headliners, Hard Rock, Hard Bod, Let&#39;s Race: Songs for Sled Heads, Metal Power for Video Games, Ozzfest Through the Years, Rage Rock, &#39;00s Aggro Anthems, Rap-Metal Adrenaline Boost, Raging Through the Ages, Heavy Metal Workout, Zombie Metal Assault , Adrenaline-Boosting Rap &amp; Metal, 2018 Rock &amp; Metal Grammy Nominees, The Metal Moshpit, "
"A Little Piece Of Heaven Radio","Avenged Sevenfold","Hear songs like A Little Piece Of Heaven",""
"Badillac Radio","together PANGEA","Hear songs by together PANGEA, Twin Peaks, The Orwells, Tijuana Panthers, and more.","","together PANGEA, Twin Peaks, The Orwells, Tijuana Panthers, White Reaper, Skaters, The Frights, Bass Drum of Death, Broncho, Meatbodies, FIDLAR, King Tuff, Cherry Glazerr, Wavves, Vundabar, Ty Segall, ","Guitars &amp; PBRs, Left Lane Lo-Fi, Indie Children of the &#39;90s, Eat My Shorts, New Adventures In Lo-Fi, Flying the Anti-Flag, BAD PARTY, Indie Under Pressure, Coolest New Indie of 2017, Lo-Fi: Yesterday and Today, SXSW 2018: Rising Alt/Indie, Cozy Up Indie, Retro Indie Rock, Children of The Velvet Underground, SXSW 2018: Rising Rock &amp; Metal, The Side Stage, "
"Believers (Deluxe Edition) Radio","Mayday","Hear songs by Mayday, ¡Mayday!, Ces Cru, Wrekonize, and more.","","¡Mayday!, Ces Cru, Wrekonize, Wrekonize, Krizz Kaliko, Stevie Stone, Prozak, Tech N9ne, Kutt Calhoun, Twisted Insane, Wrekonize, JL, Big Scoob, Rittz, Bernz, Jl B Hood, ","Stuntin&#39; Like My Daddy, Noise Rap, The World of Eminem, Heavy On The Pedal, Dark &amp; Dirty Hip Hop, Lose Yourself, Cloud Rap, The Nu-Metal Resurgence, A Hip Hop Party in Canada, Hold Me Back Bro   , Rainy Day Hip Hop, Fight the Power, West Coast Rap Renaissance, Nap Rap, Sad Rappers, Adrenaline-Boosting Rap &amp; Metal, "
"Best Of/20th Century Radio","Rob Zombie","Hear songs by Rob Zombie, White Zombie, Static-X, Marilyn Manson, and more.","","Rob Zombie, White Zombie, Static-X, Marilyn Manson, Powerman 5000, Korn, Godsmack, Coal Chamber, Dope, Pantera, Mudvayne, Mushroomhead, Drowning Pool, HELLYEAH, The Union Underground, Slipknot, ","Ozzfest Through the Years, Rage Rock, Heavy Metal Workout, Metal Power for Video Games, Rap-Metal Adrenaline Boost, Bodies Hit the Floor: FPS Rock, Let&#39;s Race: Songs for Sled Heads, Hard Rock, Hard Bod, The Metal Moshpit, Raging Through the Ages, Metal&#39;s Ambassadors, Essential Heavy Metal, Adrenaline-Boosting Rap &amp; Metal, Louder Than Love, Rap-Rock Revolution, Heavy Industry, "
