"2020","Summerland","The Herd","227000","5","14","","115"
"4wd Motion","We Are The Ones……(We&#39;ve Been Waiting For)","Visionaries","202000","5","17","","26"
"616 Rewind [Deluxe Edition] (feat. Tonedeff, Sankofa, Kashal Tee &amp; Celph Titled)","Will Rap for Food [Deluxe Edition]","CunninLynguists","255000","5","11","","108"
"808","80 HRTZ","Eligh","182000","5","24","","251"
"Acid Jazz Singer","Here We Stand","The Fratellis","261000","5","34","","178"
"Afterlife","Avenged Sevenfold","Avenged Sevenfold","351000","5","22","","29"
"Alcohol","Bling Bling Bling!","Millionaires","185000","5","6","","100"
"A Little Piece Of Heaven","Avenged Sevenfold","Avenged Sevenfold","480000","5","41","","28"
"All The Same","V","Wavves","116000","5","28","","179"
"All Your Light (Times Like These)","In The Mountain In The Cloud","Portugal. The Man","266000","5","18","","59"
"American Wasted","Race You to the Bottom","New Medicine","187000","5","15","","147"
"A Million Ways","Oh No","OK Go","193000","5","26","","117"
"...And Now You&#39;re Old Enough, I Think That You Should Know","Where Do You Hide Your Toys","Sugar Army","218000","5","28","","260"
"A Prophecy (Big Chocolate)","Stepped Up And Scratched","Asking Alexandria","267000","5","11","","97"
"At the Helm","3rd Eye Vision","Hieroglyphics","258000","5","8","","110"
"Auto Party Pilot","Rainbows in Space","The Bennies","233000","5","17","","290"
"Back Against the Wall (featuring Moroney &amp; Rite Hook)","The King of Everything Else","Slaine","202000","5","39","","56"
"Bad Candy","Twisted Wheel","Twisted Wheel","178000","5","23","","135"
"Bad Girlfriend","Scars &amp; Souvenirs","Theory Of A Deadman","205000","5","13","","160"
"Bad Guys","Virginity","Bleeding Knees Club","162000","5","27","","171"
"Bad Habits","Too","FIDLAR","332000","5","80","","281"
"Bad Medicine","Too","FIDLAR","176000","5","86","","259"
"Bad Religion (Bonus Track)","Believers (Deluxe Edition)","¡Mayday!","175000","5","36","","191"
"Beat Me Up","Afraid Of Heights","Wavves","140000","5","38","","264"
"Beautiful Ugly (Ft. Jess Harlen)","…and Then Tomorrow Came","Muph &amp; Plutonic","254000","5","26","","164"
"Beef &amp; Broccoli","Revolutionary, Vol.1","Immortal Technique","125000","5","10","","300"
"Believers","Believers (Deluxe Edition)","¡Mayday!","185000","5","53","","185"
"Bionic","How I Learned to Stop Worrying and Love the Bomb","Mr. SOS","266000","5","20","","229"
"Bitch Bad","Food &amp; Liquor II: The Great American Rap Album Pt. 1","Lupe Fiasco","289000","5","9","","35"
"Bitcoin Beezy","Mursday","¡Mayday!","224000","5","24","","244"
"Bite Hard","Tonight: Franz Ferdinand","Franz Ferdinand","204000","5","13","","18"
"Black Moon Spell","Black Moon Spell","King Tuff","293000","5","29","","270"
"Blazing Arrow","Blazing Arrow","Blackalicious","159000","5","11","","107"
"Bleed It Out","Minutes To Midnight","Linkin Park","164000","5","21","","344"
"Blessings (feat. Drake)","Dark Sky Paradise (Deluxe)","Big Sean","252000","5","15","","231"
"Blue Monday","Candyass","Orgy","267000","5","14","","323"
"Bodies Made Of","Sunbathing Animal","Parquet Courts","201000","5","31","","1"
"Bombshell","Anyone For Doomsday?","Powerman 5000","194000","5","14","","127"
"Boom Boom Boom","Brothers Grimm","Drapht","227000","5","13","","186"
"Boom","Satellite","P.O.D.","190000","5","12","","341"
"Boxer (Acoustic)","The B-Sides","The Gaslight Anthem","185000","5","11","","55"
"Boys In The Wood","Underneath The Rainbow","Black Lips","217000","5","14","","321"
"Break Stuff","Significant Other","Limp Bizkit","166000","5","8","","342"
"Bully Bully","When Pigs Fly","The Chicharones","268000","5","22","","235"
"Burried in Teeth","Faces in the Rocks","Mariee Sioux","359000","5","7","","325"
"California","Swan Songs","Hollywood Undead","196000","5","11","","161"
"Campfire","This Was Tomorrow","Seth Sentry","247000","5","16","","166"
"Can You Feel My Heart","Sempiternal (Deluxe Edition)","Bring Me The Horizon","227000","5","12","","27"
"Captain Caveman (feat. R.A. The Rugged Man)","Killmatic","Apathy","243000","5","21","","87"
"Caribou Lou (Explicit)","Everready","Tech N9ne","271000","5","18","","216"
"Celebrate","Kelvin","Kutt Calhoun","263000","5","16","","48"
"Cellophane","I&#39;m In Your Mind Fuzz","King Gizzard &amp; The Lizard Wizard","190000","5","19","","269"
"Chainsaw Symphony","Lets Get Violent","Lo Key","234000","5","11","","61"
"City","Swan Songs","Hollywood Undead","214000","5","16","","157"
"Clack Clack Clack","Spasefase","Prevail of Swollen Members","154000","5","11","","71"
"Confrontation","The Ascension","Otep","192000","5","12","","170"
"Coolio","Lyrics of Fury II","Abstract Rude","216000","5","10","","106"
"Crank","Ultra Dubstep","Omar LinX","238000","5","11","","16"
"Crazy Train","The Ozzman Cometh","Ozzy Osbourne","289000","5","12","","336"
"Creepy Crawl","Death Rap","Necro","125000","5","21","","318"
"Crooked Spoons","The Ascension","Otep","259000","5","16","","118"
"Crying Clown","Annabel Dream Reader","The Wytches","198000","5","18","","262"
"Cult Romance","Tom Ugly EP","Tom Ugly","235000","5","48","","49"
"Curse Of The Word","Position Correction","TZU","261000","5","16","","213"
"Damage Case","Overkill (Bonus Track Edition)","Motörhead","182000","5","14","","333"
"Damage (feat. Snow Tha Product)","NEH&#39;MIND","Krizz Kaliko","168000","5","7","","67"
"Darker Shades","Thrift Store Halos","Mayday","225000","5","23","","196"
"Dead Bite","Songs from the Underground - A Tribute to Hollywood Undead","Rock Tragedy Masters","217000","5","14","","162"
"Death March Intro (feat. DJ Green Lantern)","The 3rd World","Immortal Technique","157000","5","15","","304"
