"19-2000","Gorillaz","Gorillaz","210000","0","1",""
"19","Draw Attention To Themselves (Wide Release)","Yves Klein Blue","303000","0","30",""
"3 Men Marching","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","293000","0","14",""
"3rd Planet","The Moon &amp; Antarctica","Modest Mouse","239000","0","0",""
"3rd Planet","The Moon &amp; Antarctica","Modest Mouse","240000","0","3",""
"3 Rings","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","278000","0","15",""
"40oz. On Repeat","Too","FIDLAR","233000","0","78",""
"5/4","Gorillaz","Gorillaz","162000","0","2",""
"60 Revolutions","Gypsy Punks: Underdog World Strike","Gogol Bordello","178000","0","5",""
"&#39;97 Bonnie &amp; Clyde","The Slim Shady LP","Eminem","316000","0","6",""
"(A Bookend)","Draw Attention To Themselves (Wide Release)","Yves Klein Blue","200000","0","26",""
"Accusations","The Future Will Come","The Juan Maclean","332000","0","0",""
"A Different City","The Moon &amp; Antarctica","Modest Mouse","187000","0","0",""
"Adrenaline","Adrenaline","Zeds Dead","212000","0","8",""
"A Far Cry","The Last Place You&#39;ll Look","We Were Promised Jetpacks","292000","0","0",""
"Afterlife","Avenged Sevenfold","Avenged Sevenfold","351000","5","22",""
"A Little Piece Of Heaven","Avenged Sevenfold","Avenged Sevenfold","480000","5","41",""
"All Alone (feat. Martina Topley Bird)","Demon Days","Gorillaz","213000","0","2",""
"All I Need Is One","Cardboard Castles","Watsky","226000","0","1",""
"All I Wanna Know","Tom Ugly EP","Tom Ugly","196000","0","26",""
"All Or Nothing","Let It Burn","Datsik","252000","0","1",""
"Almost Easy","Avenged Sevenfold","Avenged Sevenfold","234000","0","16",""
"Alone Down There","The Moon &amp; Antarctica","Modest Mouse","142000","0","2",""
"Always Back In Town","Sunbathing Animal","Parquet Courts","157000","0","24",""
"Amarillo","The Fall","Gorillaz","204000","0","0",""
"American Garbage","The Bible 2","AJJ","144000","0","1",""
"American Tune","Knife Man","AJJ","147000","0","4",""
"Ana&#39;s Song (Open Fire)","Neon Ballroom","Silverchair","222000","0","0",""
"And If","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","261000","0","17",""
"Angel of Death","Christmas Island","Andrew Jackson Jihad","174000","0","0",""
"Another Travelin&#39; Song","I&#39;m Wide Awake, It&#39;s Morning","Bright Eyes","256000","0","2",""
"Anthem","The Deeper You Dig","Butterfingers","254000","0","2",""
"Anything I&#39;m Not","Lenka","Lenka","198000","0","0",""
"Armageddon","Grand Caravan To The Rim Of The World","3 Melancholy Gypsys","244000","0","11",""
"Arms for Legs","Arms for Legs","Ki:Theory","201000","0","0",""
"Army","The Unauthorized Biography Of Reinhold Messner","Ben Folds Five","203000","0","0",""
"A Song Dedicated to the Memory of Stormy the Rabbit","People Who Can Eat People are the Luckiest People in the World","AJJ","184000","0","5",""
"Aspen Forest","The Fall","Gorillaz","170000","0","0",""
"As The World Turns","The Slim Shady LP","Eminem","265000","0","3",""
"Athena","Let It Burn","Datsik","264000","0","1",""
